Vehicle X,Vehicle Y,Vehicle_Yaw,Velocity X,Velocity Y,Cargo X,Cargo Y,Cargo Z
4.1394353,-0.020007307,-0.005188804,2.297844,-0.026932333,4.0527587,-0.018979935,1.3496938
4.16714,-0.02031877,-0.00526481,2.3085668,-0.025361083,4.0804534,-0.019285832,1.3496947
4.194904,-0.02061331,-0.0053318907,2.319005,-0.024496702,4.1082125,-0.01957596,1.3496925
4.2228813,-0.020895317,-0.005392001,2.3331475,-0.022962393,4.13618,-0.01985413,1.3496926
4.2509856,-0.0211663,-0.005445893,2.3475442,-0.022717316,4.164277,-0.020121245,1.3496903
4.2792177,-0.021450313,-0.005505078,2.346841,-0.023971066,4.1925077,-0.020399373,1.3496928
4.3072658,-0.021749197,-0.0055708936,2.3395383,-0.025255507,4.2205667,-0.020691508,1.3496944
4.335459,-0.02206475,-0.0056431154,2.3549514,-0.026659524,4.2487545,-0.02099961,1.3496923
4.363781,-0.022379007,-0.0057134796,2.3542948,-0.025693586,4.277073,-0.021308072,1.3496972
4.3918858,-0.022656998,-0.005766612,2.3415406,-0.022220673,4.3051896,-0.021584176,1.3497003
4.420007,-0.022900952,-0.0058034817,2.346456,-0.019890767,4.3333116,-0.021827377,1.3496957
4.4482427,-0.023117837,-0.005827331,2.3534212,-0.017337492,4.361541,-0.02204425,1.3496919
4.476475,-0.023317363,-0.005843096,2.350995,-0.016656226,4.3897734,-0.022243297,1.3496876
4.5046654,-0.023510182,-0.0058559193,2.3507829,-0.015708357,4.417966,-0.02243534,1.3496846
4.5329103,-0.023698572,-0.0058662654,2.3535917,-0.015915586,4.446209,-0.022622652,1.349682
4.5611634,-0.023900807,-0.0058830497,2.3555708,-0.017173856,4.4744616,-0.022822198,1.3496795
4.5895233,-0.024109416,-0.0059020887,2.368763,-0.017350513,4.5028152,-0.023028476,1.3496798
4.618077,-0.024326524,-0.005924186,2.3792634,-0.01849208,4.531359,-0.023242751,1.3496828
4.6466217,-0.024548791,-0.0059485943,2.378581,-0.018286008,4.5599036,-0.023462567,1.3496828
4.6751776,-0.024745416,-0.00596059,2.3810718,-0.015601018,4.588459,-0.023659907,1.3496825
4.703756,-0.024914108,-0.0059596025,2.3792162,-0.013691818,4.6170382,-0.023830531,1.3496804
4.732249,-0.025062839,-0.0059499624,2.3742254,-0.0118987635,4.645536,-0.02398151,1.3496791
4.7607613,-0.025192127,-0.0059316047,2.3781996,-0.010475001,4.6740484,-0.024113514,1.349678
4.7894173,-0.025299571,-0.0059030014,2.393519,-0.008334236,4.702696,-0.02422484,1.3496801
4.8182697,-0.025394702,-0.005868653,2.4041796,-0.008060687,4.731539,-0.024323389,1.3496832
4.8471217,-0.025487915,-0.0058342,2.4048247,-0.007491352,4.7603893,-0.024419505,1.349682
4.875929,-0.025577681,-0.005798556,2.395394,-0.0076385303,4.789202,-0.024512066,1.3496834
4.9044785,-0.025688924,-0.005774195,2.3732793,-0.009975318,4.8177695,-0.024623474,1.349691
4.9328837,-0.025827846,-0.005763112,2.37261,-0.012033478,4.8461843,-0.02476117,1.3496966
4.9614425,-0.025994428,-0.0057642483,2.376174,-0.014575632,4.874738,-0.024925433,1.3496987
4.9898653,-0.026176354,-0.0057726544,2.3684025,-0.01509293,4.9031663,-0.025105676,1.3496959
5.0182967,-0.026363228,-0.005782934,2.3705215,-0.015914593,4.9315968,-0.025291286,1.3496909
5.04675,-0.026553253,-0.0057944786,2.3692598,-0.015568926,4.960048,-0.02548047,1.3496869
5.075203,-0.026741961,-0.005805165,2.3765717,-0.016014766,4.9884987,-0.025668377,1.349686
5.1038685,-0.026932161,-0.005815923,2.3899932,-0.015554331,5.017153,-0.025857916,1.3496873
5.1325784,-0.027114779,-0.0058229202,2.3926215,-0.015228674,5.045859,-0.026040485,1.3496845
5.161359,-0.027287818,-0.005825243,2.4038808,-0.013995106,5.074633,-0.026214264,1.3496846
5.190298,-0.027454194,-0.0058239317,2.4083426,-0.014035019,5.1035666,-0.026381182,1.3496872
